========================================
methink_colrel_FactorOne_0.1.out
0.1 atm
T,W4->P1
250.0,2.16023e-65
260.0,1.98658e-62
270.0,1.05566e-59
280.0,3.68422e-57
290.0,8.08218e-55
300.0,1.20951e-52
310.0,1.39687e-50
320.0,1.12956e-48
330.0,7.35089e-47
340.0,3.64815e-45
350.0,1.41322e-43
360.0,4.45052e-42
370.0,1.21194e-40
380.0,2.73118e-39
390.0,5.12593e-38
400.0,8.47272e-37
410.0,1.21642e-35
420.0,1.52955e-34
430.0,1.69645e-33
440.0,1.70629e-32
450.0,1.54185e-31
460.0,1.26229e-30
470.0,9.60401e-30
480.0,6.55518e-29
490.0,4.23116e-28
500.0,2.50617e-27
510.0,1.36613e-26
520.0,7.10096e-26
530.0,3.4179e-25
540.0,1.56513e-24
550.0,6.70786e-24
560.0,2.7645e-23
570.0,1.08531e-22
580.0,4.03145e-22
590.0,1.40834e-21
600.0,4.79526e-21
610.0,1.56438e-20
620.0,4.93891e-20
630.0,1.50937e-19
640.0,4.43079e-19
650.0,1.25702e-18
660.0,3.37533e-18
670.0,8.992e-18
680.0,2.3294e-17
690.0,5.85253e-17
700.0,1.43183e-16
800.0,3.05655e-13
900.0,1.15164e-10
1000.0,1.28335e-08
1100.0,5.75375e-07
1200.0,1.34975e-05
1300.0,0.000187426
1400.0,0.0017522
1500.0,0.0117909
1600.0,0.0620967
1700.0,0.25917
1800.0,0.916049
1900.0,2.83656
2000.0,7.56689
2100.0,18.4293
2200.0,40.1542
2300.0,82.1679
2400.0,156.671
2500.0,280.207
2600.0,479.555
2700.0,772.887
2800.0,1200.36
2900.0,1797.79
3000.0,2634.96
========================================
methink_colrel_FactorOne_0.1.out
0.5 atm
T,W4->P1
250.0,1.85349e-64
260.0,1.63406e-61
270.0,8.4363e-59
280.0,2.84296e-56
290.0,6.12932e-54
300.0,9.11314e-52
310.0,1.02562e-49
320.0,8.22621e-48
330.0,5.26084e-46
340.0,2.57896e-44
350.0,9.9354e-43
360.0,3.11567e-41
370.0,8.37352e-40
380.0,1.86938e-38
390.0,3.49439e-37
400.0,5.72633e-36
410.0,8.16173e-35
420.0,1.01987e-33
430.0,1.12615e-32
440.0,1.12716e-31
450.0,1.01253e-30
460.0,8.25753e-30
470.0,6.23461e-29
480.0,4.24315e-28
490.0,2.72104e-27
500.0,1.60416e-26
510.0,8.72414e-26
520.0,4.50875e-25
530.0,2.1643e-24
540.0,9.86064e-24
550.0,4.21949e-23
560.0,1.73147e-22
570.0,6.76872e-22
580.0,2.50574e-21
590.0,8.74632e-21
600.0,2.96607e-20
610.0,9.65726e-20
620.0,3.03837e-19
630.0,9.24661e-19
640.0,2.70605e-18
650.0,7.65455e-18
660.0,2.05372e-17
670.0,5.45641e-17
680.0,1.40977e-16
690.0,3.53327e-16
700.0,8.62331e-16
800.0,1.80611e-12
900.0,6.69665e-10
1000.0,7.36208e-08
1100.0,3.27066e-06
1200.0,7.60338e-05
1300.0,0.00104863
1400.0,0.00973862
1500.0,0.0651852
1600.0,0.34156
1700.0,1.42153
1800.0,5.00423
1900.0,15.4343
2000.0,41.0576
2100.0,99.6549
2200.0,216.68
2300.0,442.238
2400.0,841.191
2500.0,1500.4
2600.0,2562.65
2700.0,4117.95
2800.0,6386.52
2900.0,9546.89
3000.0,13951.0
========================================
methink_colrel_FactorOne_0.1.out
1.0 atm
T,W4->P1
250.0,5.06109e-64
260.0,4.40498e-61
270.0,2.25201e-58
