Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  7.83145e-18  1.82021e-27
  210   1.1984e-17  7.74034e-27
  220  1.80195e-17   2.9474e-26
  230  2.66375e-17  1.01777e-25
  240  3.87299e-17  3.22097e-25
  250  5.54127e-17  9.42628e-25
  260  7.80558e-17  2.57072e-24
  270  1.08313e-16  6.57707e-24
  280  1.48147e-16  1.58786e-23
  290  1.99857e-16  3.63607e-23
  300    2.661e-16   7.9337e-23
  310  3.49907e-16  1.65618e-22
  320  4.54698e-16  3.31974e-22
  330  5.84296e-16  6.41032e-22
  340  7.42931e-16  1.19593e-21
  350  9.35245e-16  2.16135e-21
  360  1.16629e-15  3.79292e-21
  370  1.44154e-15  6.47719e-21
  380  1.76685e-15  1.07848e-20
  390  2.14851e-15  1.75399e-20
  400  2.59314e-15   2.7908e-20
  410   3.1078e-15  4.35069e-20
  420  3.69987e-15  6.65431e-20
  430  4.37708e-15  9.99767e-20
  440  5.14751e-15  1.47719e-19
  450  6.01954e-15  2.14867e-19
  460  7.00188e-15  3.07971e-19
  470  8.10347e-15  4.35353e-19
  480  9.33357e-15  6.07461e-19
  490  1.07017e-14   8.3727e-19
  500  1.22175e-14  1.14074e-18
  510  1.38909e-14  1.53729e-18
  520  1.57322e-14  2.05039e-18
  530  1.77516e-14  2.70814e-18
  540  1.99596e-14  3.54389e-18
  550  2.23669e-14  4.59699e-18
  560  2.49844e-14  5.91353e-18
  570  2.78229e-14  7.54709e-18
  580  3.08936e-14  9.55967e-18
  590  3.42077e-14  1.20225e-17
  600  3.77763e-14   1.5017e-17
  610  4.16109e-14  1.86358e-17
  620  4.57231e-14  2.29838e-17
  630  5.01242e-14  2.81788e-17
  640  5.48259e-14  3.43534e-17
  650  5.98399e-14  4.16553e-17
  660  6.51779e-14  5.02488e-17
  670  7.08516e-14  6.03161e-17
  680  7.68729e-14  7.20582e-17
  690  8.32535e-14  8.56962e-17
  700  9.00054e-14  1.01473e-16
  750  1.29749e-13  2.22569e-16
  800  1.80558e-13  4.47945e-16
  850  2.43915e-13  8.39367e-16
  900  3.21292e-13  1.48114e-15
  950  4.14138e-13   2.4836e-15
 1000  5.23874e-13  3.98628e-15
 1050  6.51886e-13  6.16058e-15
 1100  7.99526e-13  9.21196e-15
 1150  9.68101e-13  1.33816e-14
 1200  1.15888e-12  1.89479e-14
 1250  1.37308e-12  2.62266e-14
 1300  1.61187e-12  3.55717e-14
 1350  1.87639e-12  4.73753e-14
 1400  2.16772e-12  6.20669e-14
 1450  2.48689e-12   8.0113e-14
 1500  2.83489e-12  1.02016e-13
 1550  3.21268e-12  1.28313e-13
 1600  3.62115e-12  1.59575e-13
 1650  4.06117e-12  1.96404e-13
 1700  4.53355e-12  2.39434e-13
 1750  5.03909e-12  2.89327e-13
 1800  5.57853e-12  3.46773e-13
 1850  6.15258e-12  4.12487e-13
 1900  6.76192e-12  4.87208e-13
 1950   7.4072e-12  5.71698e-13
 2000  8.08902e-12   6.6674e-13
 2050  8.80797e-12  7.73134e-13
 2100  9.56462e-12  8.91701e-13
 2150  1.03595e-11  1.02327e-12
 2200  1.11931e-11  1.16871e-12
 2250  1.20659e-11  1.32886e-12
 2300  1.29784e-11  1.50461e-12
 2350  1.39309e-11  1.69685e-12
 2400   1.4924e-11  1.90647e-12
 2450  1.59581e-11  2.13437e-12
 2500  1.70334e-11  2.38148e-12
 2550  1.81504e-11   2.6487e-12
 2600  1.93094e-11  2.93697e-12
 2650  2.05107e-11  3.24721e-12
 2700  2.17547e-11  3.58036e-12
 2750  2.30417e-11  3.93735e-12
 2800  2.43719e-11  4.31913e-12
 2850  2.57457e-11  4.72664e-12
 2900  2.71632e-11  5.16082e-12
 2950  2.86248e-11  5.62261e-12
