Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  2.33334e-12  1.50759e-71
  210  2.35182e-12  1.05618e-68
  220  2.43412e-12  4.18689e-66
  230  2.49551e-12  9.79272e-64
  240  2.63188e-12  1.49738e-61
  250  2.67353e-12  1.47995e-59
  260  2.88335e-12  1.09129e-57
  270  2.92215e-12  5.52653e-56
  280  3.25362e-12  2.32411e-54
  290  3.05667e-12  6.41662e-53
  300  3.14712e-12  1.54909e-51
  310  3.55426e-12  3.34552e-50
  320  3.65763e-12  5.47296e-49
  330  3.43922e-12  6.91599e-48
  340  3.57045e-12  8.27946e-47
  350  3.64133e-12   8.4653e-46
  360  3.69586e-12    7.577e-45
  370  3.81572e-12  6.13166e-44
  380  3.91475e-12  4.42378e-43
  390  4.19087e-12  3.01288e-42
  400  4.14054e-12  1.72621e-41
  410  4.27888e-12  9.49396e-41
  420  4.39502e-12  4.79233e-40
  430  4.48423e-12  2.23126e-39
  440  4.56473e-12  9.67305e-39
  450  4.74018e-12  4.01089e-38
  460   4.7845e-12  1.52202e-37
  470  4.91948e-12  5.56107e-37
  480   5.0461e-12  1.92263e-36
  490  5.16217e-12  6.30859e-36
  500  5.26965e-12  1.97148e-35
  510  5.50923e-12   6.0389e-35
  520  5.55269e-12   1.7111e-34
  530  5.95899e-12  4.96494e-34
  540  5.80163e-12  1.25971e-33
  550  5.98904e-12  3.27294e-33
  560  6.60851e-12   8.7951e-33
  570  6.17215e-12    1.939e-32
  580  6.31645e-12  4.54747e-32
  590  6.45568e-12  1.03562e-31
  600  6.58938e-12  2.29341e-31
  610  6.71849e-12  4.94623e-31
  620  7.49147e-12  1.13882e-30
  630  7.10066e-12   2.1782e-30
  640  7.18548e-12  4.35163e-30
  650  7.29197e-12  8.53825e-30
  660  7.54418e-12   1.6742e-29
  670   7.6091e-12     3.14e-29
  680  7.89611e-12  5.94988e-29
  690  7.91276e-12  1.06995e-28
  700  8.15861e-12  1.94695e-28
  800  9.67839e-12  3.10776e-26
  900   1.1637e-11   1.6991e-24
 1000  1.35116e-11  4.19889e-23
 1100  1.58063e-11  6.01978e-22
 1200  1.78929e-11  5.52035e-21
 1300  2.04716e-11  3.72092e-20
 1400  2.30727e-11  1.92349e-19
 1500  2.59926e-11  8.13424e-19
 1600  2.89207e-11  2.88671e-18
 1700  3.19196e-11  8.88525e-18
 1800  3.52668e-11  2.44774e-17
 1900  3.87043e-11  6.09472e-17
 2000  4.22194e-11  1.39194e-16
 2100  4.65192e-11  2.99729e-16
 2200  4.98357e-11  5.91217e-16
 2300  5.40868e-11  1.12171e-15
 2400  5.78085e-11  2.00275e-15
