Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.76525e-20  1.47122e-18
  210  1.06974e-19  1.96238e-18
  220  1.67121e-19  2.62642e-18
  230  2.58153e-19  3.52275e-18
  240  3.94974e-19  4.73537e-18
  250  5.98528e-19  6.37016e-18
  260  8.99985e-19  8.58146e-18
  270  1.34219e-18  1.15595e-17
  280  1.98537e-18  1.55569e-17
  290  2.91366e-18   2.0908e-17
  300  4.23952e-18  2.80241e-17
  310  6.11786e-18  3.74508e-17
  320  8.75305e-18  4.98606e-17
  330  1.24116e-17  6.60791e-17
  340  1.74446e-17  8.71502e-17
  350  2.42996e-17  1.14331e-16
  360  3.35415e-17  1.49128e-16
  370  4.58825e-17  1.93364e-16
  380  6.22064e-17    2.492e-16
  390  8.35975e-17  3.19177e-16
  400  1.11372e-16  4.06252e-16
  410  1.47118e-16  5.13863e-16
  420  1.92731e-16  6.45963e-16
  430  2.50455e-16  8.07061e-16
  440  3.22923e-16  1.00228e-15
  450   4.1321e-16  1.23742e-15
  460  5.24868e-16  1.51895e-15
  470  6.61983e-16  1.85413e-15
  480  8.29219e-16  2.25099e-15
  490  1.03187e-15   2.7184e-15
  500  1.27591e-15  3.26614e-15
  510  1.56805e-15  3.90491e-15
  520  1.91578e-15  4.64637e-15
  530   2.3274e-15  5.50318e-15
  540  2.81212e-15  6.48906e-15
  550  3.38006e-15   7.6188e-15
  560  4.04232e-15  8.90828e-15
  570  4.81102e-15  1.03745e-14
  580  5.69932e-15  1.20358e-14
  590  6.72153e-15  1.39114e-14
  600  7.89306e-15   1.6022e-14
  610  9.23052e-15  1.83894e-14
  620  1.07517e-14  2.10366e-14
  630  1.24758e-14  2.39882e-14
  640   1.4423e-14  2.72696e-14
  650   1.6615e-14  3.09079e-14
  660  1.90748e-14  3.49311e-14
  670  2.18267e-14   3.9369e-14
  680  2.48964e-14  4.42524e-14
  690  2.83111e-14  4.96134e-14
  700  3.20991e-14  5.54855e-14
  800  9.77921e-14  1.50629e-13
  900  2.42632e-13  3.43345e-13
 1000  5.17731e-13  6.87611e-13
 1100  9.85713e-13  1.24771e-12
 1200  1.71798e-12  2.09605e-12
 1300  2.79187e-12  3.31094e-12
 1400  4.28805e-12   4.9745e-12
 1500  6.28835e-12  7.17092e-12
 1600  8.87405e-12  9.98488e-12
 1700  1.21247e-11  1.35004e-11
 1800   1.6117e-11  1.78001e-11
 1900  2.09247e-11   2.2964e-11
 2000  2.66175e-11  2.90695e-11
 2100  3.32615e-11   3.6191e-11
 2200   4.0919e-11  4.43996e-11
 2300  4.96484e-11  5.37628e-11
 2400  5.95043e-11  6.43448e-11
