========================================
absc2h5+h_B2_Energy_1_34.9759.out
--
T,P1->P2
200.0,2.97179e-11
210.0,2.99186e-11
220.0,3.0117e-11
230.0,3.03105e-11
240.0,3.04973e-11
250.0,3.06763e-11
260.0,3.08468e-11
270.0,3.10083e-11
280.0,3.11607e-11
290.0,3.13042e-11
300.0,3.1439e-11
310.0,3.15654e-11
320.0,3.16839e-11
330.0,3.17949e-11
340.0,3.18989e-11
350.0,3.19964e-11
360.0,3.20878e-11
370.0,3.21738e-11
380.0,3.22546e-11
390.0,3.23309e-11
400.0,3.2403e-11
410.0,3.24713e-11
420.0,3.25363e-11
430.0,3.25983e-11
440.0,3.26576e-11
450.0,3.27147e-11
460.0,3.27697e-11
470.0,3.28231e-11
480.0,3.2875e-11
490.0,3.29257e-11
500.0,3.29756e-11
510.0,3.30247e-11
520.0,3.30733e-11
530.0,3.31216e-11
540.0,3.31698e-11
550.0,3.32179e-11
560.0,3.32663e-11
570.0,3.3315e-11
580.0,3.33641e-11
590.0,3.34138e-11
600.0,3.34641e-11
610.0,3.35151e-11
620.0,3.3567e-11
630.0,3.36197e-11
640.0,3.36734e-11
650.0,3.37281e-11
660.0,3.37839e-11
670.0,3.38407e-11
680.0,3.38988e-11
690.0,3.3958e-11
700.0,3.40184e-11
800.0,3.46929e-11
900.0,3.55014e-11
1000.0,3.64448e-11
1100.0,3.75168e-11
1200.0,3.87053e-11
1300.0,3.99946e-11
1400.0,4.13701e-11
1500.0,4.28213e-11
1600.0,4.43428e-11
1700.0,4.59333e-11
1800.0,4.75937e-11
1900.0,4.93252e-11
2000.0,5.11283e-11
2100.0,5.30013e-11
2200.0,5.49413e-11
2300.0,5.69437e-11
2400.0,5.90029e-11
2500.0,6.11133e-11
2600.0,6.32694e-11
2700.0,6.54665e-11
2800.0,6.77008e-11
2900.0,6.99695e-11
3000.0,7.22708e-11
========================================
absc2h5+h_P1_Energy_1_34.9759.out
--
T,P1->P2
200.0,4.11605e-11
210.0,4.08787e-11
220.0,4.06221e-11
230.0,4.0385e-11
240.0,4.01634e-11
