========================================
h+ho2=hoohNOCOMMENTS_W1_Energy_1_0.0.out
0.1 atm
T,R->P1
240.0,7.69086e-11
250.0,7.69145e-11
260.0,7.69514e-11
270.0,7.70088e-11
280.0,7.70752e-11
290.0,7.71484e-11
300.0,7.72242e-11
310.0,7.73885e-11
320.0,7.75498e-11
330.0,7.77064e-11
340.0,7.78616e-11
350.0,7.80027e-11
360.0,7.81915e-11
370.0,7.84252e-11
380.0,7.867e-11
390.0,7.89138e-11
400.0,7.91492e-11
410.0,7.93904e-11
420.0,7.96385e-11
430.0,7.9918e-11
440.0,8.01592e-11
450.0,8.03887e-11
460.0,8.0641e-11
470.0,8.08903e-11
480.0,8.11595e-11
490.0,8.14353e-11
500.0,8.17152e-11
510.0,8.20076e-11
520.0,8.23238e-11
530.0,8.26239e-11
540.0,8.28881e-11
550.0,8.31404e-11
560.0,8.34406e-11
570.0,8.37424e-11
580.0,8.40175e-11
590.0,8.42699e-11
600.0,8.45445e-11
610.0,8.48307e-11
620.0,8.5116e-11
630.0,8.54073e-11
640.0,8.57157e-11
650.0,8.60301e-11
660.0,8.63265e-11
670.0,8.66008e-11
680.0,8.68803e-11
690.0,8.71608e-11
700.0,8.7429e-11
800.0,9.02725e-11
900.0,9.30138e-11
1000.0,9.56095e-11
1100.0,9.80735e-11
1200.0,1.00437e-10
1300.0,1.02637e-10
1400.0,1.04719e-10
1500.0,1.06645e-10
1600.0,1.08439e-10
1700.0,1.10074e-10
1800.0,1.11612e-10
1900.0,1.12979e-10
2000.0,1.14222e-10
2100.0,1.15338e-10
2200.0,1.16324e-10
2300.0,1.17189e-10
2400.0,1.1792e-10
2500.0,1.18539e-10
2600.0,1.19048e-10
2700.0,1.19432e-10
2800.0,1.1973e-10
2900.0,1.1992e-10
3000.0,1.20007e-10
========================================
h+ho2=hoohNOCOMMENTS_W1_Energy_1_0.0.out
3 atm
T,R->P1
240.0,7.69093e-11
250.0,7.69151e-11
260.0,7.6952e-11
270.0,7.70094e-11
280.0,7.70758e-11
290.0,7.7149e-11
300.0,7.72248e-11
310.0,7.73891e-11
320.0,7.75504e-11
330.0,7.7707e-11
340.0,7.78621e-11
350.0,7.80032e-11
360.0,7.8192e-11
370.0,7.84257e-11
380.0,7.86705e-11
390.0,7.89143e-11
400.0,7.91497e-11
410.0,7.93909e-11
420.0,7.9639e-11
430.0,7.99184e-11
440.0,8.01596e-11
450.0,8.03892e-11
460.0,8.06415e-11
470.0,8.08908e-11
480.0,8.11599e-11
490.0,8.14357e-11
500.0,8.17156e-11
510.0,8.2008e-11
520.0,8.23242e-11
530.0,8.26243e-11
540.0,8.28885e-11
550.0,8.31408e-11
560.0,8.34411e-11
570.0,8.37428e-11
580.0,8.4018e-11
590.0,8.42703e-11
600.0,8.45449e-11
610.0,8.48312e-11
620.0,8.51164e-11
630.0,8.54077e-11
640.0,8.57161e-11
650.0,8.60305e-11
660.0,8.63269e-11
670.0,8.66012e-11
680.0,8.68807e-11
690.0,8.71612e-11
700.0,8.74294e-11
800.0,9.02729e-11
900.0,9.30141e-11
1000.0,9.56099e-11
1100.0,9.80738e-11
1200.0,1.00437e-10
1300.0,1.02637e-10
1400.0,1.04719e-10
1500.0,1.06646e-10
1600.0,1.08439e-10
1700.0,1.10074e-10
1800.0,1.11613e-10
1900.0,1.12979e-10
2000.0,1.14223e-10
2100.0,1.15338e-10
2200.0,1.16324e-10
2300.0,1.1719e-10
2400.0,1.1792e-10
2500.0,1.1854e-10
2600.0,1.19048e-10
2700.0,1.19432e-10
2800.0,1.1973e-10
2900.0,1.1992e-10
3000.0,1.20008e-10
========================================
h+ho2=hoohNOCOMMENTS_W1_Energy_1_0.0.out
5 atm
T,R->P1
240.0,7.69098e-11
250.0,7.69156e-11
260.0,7.69524e-11
270.0,7.70098e-11
280.0,7.70762e-11
290.0,7.71494e-11
300.0,7.72252e-11
310.0,7.73895e-11
320.0,7.75507e-11
330.0,7.77073e-11
340.0,7.78625e-11
350.0,7.80036e-11
360.0,7.81923e-11
370.0,7.8426e-11
380.0,7.86708e-11
390.0,7.89147e-11
400.0,7.915e-11
410.0,7.93913e-11
420.0,7.96393e-11
430.0,7.99188e-11
440.0,8.016e-11
450.0,8.03895e-11
460.0,8.06418e-11
470.0,8.08911e-11
480.0,8.11602e-11
490.0,8.1436e-11
500.0,8.17159e-11
510.0,8.20083e-11
520.0,8.23245e-11
530.0,8.26246e-11
540.0,8.28888e-11
550.0,8.31411e-11
560.0,8.34414e-11
