Temperature = 335.233K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      40.1361  6.06098e-30
      39.9932  7.43068e-30
      39.8502  9.10982e-30
      39.7073  1.11683e-29
      39.5643  1.36918e-29
      39.4214  1.67853e-29
      39.2784  2.05775e-29
      39.1355  2.52262e-29
      38.9925  3.09248e-29
      38.8495  3.79104e-29
      38.7066  4.64734e-29
      38.5636  5.69701e-29
      38.4207  6.98368e-29
      38.2777  8.56087e-29
      38.1348  1.04941e-28
      37.9918  1.28639e-28
      37.8489  1.57685e-28
      37.7059  1.93289e-28
      37.5629  2.36929e-28
        37.42  2.90418e-28
       37.277  3.55981e-28
      37.1341  4.36339e-28
      36.9911  5.34832e-28
      36.8482   6.5555e-28
      36.7052  8.03507e-28
      36.5623  9.84849e-28
      36.4193   1.2071e-27
      36.2763   1.4795e-27
      36.1334  1.81335e-27
      35.9904  2.22251e-27
      35.8475  2.72395e-27
      35.7045  3.33851e-27
      35.5616  4.09166e-27
      35.4186  5.01468e-27
      35.2757  6.14585e-27
      35.1327  7.53209e-27
      34.9898  9.23092e-27
      34.8468  1.13128e-26
      34.7038   1.3864e-26
      34.5609  1.69905e-26
      34.4179  2.08217e-26
       34.275  2.55166e-26
       34.132  3.12697e-26
      33.9891  3.83196e-26
      33.8461  4.69584e-26
      33.7032   5.7544e-26
      33.5602  7.05153e-26
      33.4172  8.64094e-26
      33.2743  1.05885e-25
      33.1313  1.29749e-25
      32.9884  1.58989e-25
      32.8454  1.94817e-25
      32.7025  2.38715e-25
      32.5595  2.92503e-25
      32.4166  3.58405e-25
      32.2736  4.39152e-25
      32.1306  5.38084e-25
      31.9877  6.59295e-25
      31.8447  8.07803e-25
      31.7018  9.89752e-25
      31.5588  1.21267e-24
      31.4159  1.48578e-24
      31.2729  1.82037e-24
        31.13  2.23029e-24
       30.987  2.73248e-24
       30.844  3.34772e-24
      30.7011  4.10144e-24
      30.5581  5.02479e-24
      30.4152  6.15594e-24
      30.2722  7.54165e-24
      30.1293  9.23918e-24
      29.9863  1.13187e-23
      29.8434  1.38661e-23
      29.7004  1.69865e-23
      29.5574  2.08091e-23
      29.4145  2.54914e-23
      29.2715  3.12271e-23
      29.1286  3.82529e-23
      28.9856  4.68588e-23
      28.8427  5.74002e-23
      28.6997  7.03122e-23
      28.5568  8.61277e-23
      28.4138  1.05499e-22
      28.2708  1.29227e-22
      28.1279  1.58288e-22
      27.9849  1.93883e-22
       27.842   2.3748e-22
       27.699  2.90877e-22
      27.5561  3.56275e-22
      27.4131  4.36372e-22
      27.2702   5.3447e-22
      27.1272  6.54613e-22
      26.9843  8.01753e-22
      26.8413  9.81954e-22
      26.6983  1.20264e-21
      26.5554  1.47291e-21
      26.4124   1.8039e-21
      26.2695  2.20924e-21
      26.1265  2.70563e-21
      25.9836   3.3135e-21
      25.8406   4.0579e-21
      25.6977  4.96948e-21
      25.5547  6.08576e-21
      25.4117  7.45269e-21
      25.2688  9.12655e-21
      25.1258  1.11762e-20
      24.9829   1.3686e-20
      24.8399  1.67593e-20
       24.697  2.05223e-20
       24.554    2.513e-20
      24.4111  3.07719e-20
      24.2681    3.768e-20
      24.1251  4.61383e-20
      23.9822  5.64945e-20
      23.8392  6.91745e-20
      23.6963  8.46995e-20
      23.5533  1.03707e-19
      23.4104  1.26979e-19
      23.2674  1.55472e-19
      23.1245  1.90355e-19
      22.9815  2.33062e-19
      22.8385  2.85347e-19
      22.6956  3.49357e-19
      22.5526  4.27721e-19
      22.4097  5.23656e-19
      22.2667  6.41099e-19
      22.1238  7.84873e-19
      21.9808  9.60878e-19
      21.8379  1.17634e-18
      21.6949  1.44009e-18
      21.5519  1.76295e-18
       21.409  2.15818e-18
       21.266  2.64197e-18
      21.1231  3.23417e-18
      20.9801  3.95907e-18
      20.8372  4.84637e-18
      20.6942  5.93246e-18
      20.5513  7.26185e-18
      20.4083  8.88903e-18
      20.2653  1.08807e-17
      20.1224  1.33184e-17
      19.9794   1.6302e-17
      19.8365  1.99538e-17
      19.6935  2.44232e-17
      19.5506  2.98934e-17
      19.4076  3.65883e-17
      19.2647   4.4782e-17
      19.1217  5.48098e-17
      18.9788  6.70823e-17
      18.8358  8.21016e-17
      18.6928  1.00482e-16
      18.5499  1.22976e-16
      18.4069  1.50504e-16
       18.264  1.84191e-16
       18.121  2.25415e-16
      17.9781  2.75861e-16
      17.8351  3.37593e-16
      17.6922  4.13133e-16
      17.5492  5.05569e-16
      17.4062  6.18679e-16
      17.2633  7.57084e-16
      17.1203   9.2644e-16
      16.9774  1.13366e-15
      16.8344  1.38722e-15
      16.6915  1.69746e-15
      16.5485  2.07706e-15
      16.4056  2.54151e-15
      16.2626  3.10977e-15
      16.1196  3.80504e-15
      15.9767  4.65568e-15
      15.8337  5.69642e-15
      15.6908   6.9697e-15
      15.5478  8.52748e-15
      15.4049  1.04333e-14
      15.2619  1.27648e-14
       15.119  1.56172e-14
       14.976  1.91066e-14
       14.833  2.33754e-14
      14.6901  2.85976e-14
      14.5471  3.49858e-14
      14.4042  4.28005e-14
      14.2612    5.236e-14
      14.1183  6.40537e-14
      13.9753  7.83579e-14
      13.8324  9.58549e-14
      13.6894  1.17257e-13
      13.5464  1.43436e-13
      13.4035  1.75458e-13
      13.2605  2.14624e-13
      13.1176   2.6253e-13
      12.9746  3.21124e-13
      12.8317   3.9279e-13
      12.6887  4.80442e-13
      12.5458  5.87646e-13
      12.4028  7.18761e-13
      12.2599  8.79116e-13
      12.1169  1.07523e-12
      11.9739  1.31507e-12
       11.831  1.60839e-12
       11.688  1.96711e-12
      11.5451  2.40579e-12
      11.4021  2.94225e-12
      11.2592  3.59829e-12
      11.1162  4.40054e-12
      10.9733  5.38157e-12
      10.8303  6.58121e-12
      10.6873  8.04814e-12
      10.5444   9.8419e-12
      10.4014  1.20353e-11
      10.2585  1.47172e-11
      10.1155  1.79965e-11
      9.97257  2.20062e-11
      9.82961  2.69089e-11
      9.68665  3.29032e-11
       9.5437  4.02323e-11
      9.40074  4.91932e-11
      9.25779  6.01489e-11
      9.11483  7.35435e-11
      8.97188  8.99195e-11
      8.82892   1.0994e-10
      8.68597  1.34416e-10
      8.54301  1.64339e-10
      8.40006   2.0092e-10
       8.2571  2.45639e-10
      8.11415  3.00307e-10
      7.97119  3.67136e-10
      7.82823   4.4883e-10
      7.68528  5.48693e-10
      7.54232  6.70764e-10
      7.39937   8.1998e-10
      7.25641  1.00237e-09
      7.11346  1.22532e-09
       6.9705  1.49783e-09
      6.82755  1.83091e-09
      6.68459  2.23803e-09
      6.54164  2.73562e-09
      6.39868   3.3438e-09
      6.25573  4.08712e-09
      6.11277   4.9956e-09
      5.96982  6.10591e-09
      5.82686  7.46287e-09
       5.6839  9.12125e-09
      5.54095   1.1148e-08
      5.39799  1.36248e-08
      5.25504  1.66516e-08
      5.11208  2.03506e-08
      4.96913  2.48707e-08
      4.82617  3.03944e-08
      4.68322  3.71442e-08
      4.54026  4.53923e-08
      4.39731  5.54709e-08
      4.25435  6.77861e-08
       4.1114   8.2834e-08
      3.96844  1.01221e-07
      3.82549  1.23687e-07
      3.68253  1.51136e-07
      3.53957  1.84675e-07
      3.39662  2.25652e-07
      3.25366  2.75716e-07
      3.11071  3.36882e-07
      2.96775   4.1161e-07
       2.8248  5.02907e-07
      2.68184  6.14442e-07
      2.53889    7.507e-07
      2.39593  9.17159e-07
      2.25298  1.12051e-06
      2.11002  1.36892e-06
      1.96707  1.67237e-06
      1.82411  2.04306e-06
      1.68115  2.49586e-06
       1.5382  3.04897e-06
      1.39524  3.72458e-06
      1.25229  4.54982e-06
      1.10933  5.55781e-06
     0.966378  6.78899e-06
     0.823423  8.29275e-06
     0.680467  1.01294e-05
     0.537512  1.23726e-05
     0.394557  1.51123e-05
     0.251601  1.84584e-05
     0.108646  2.25448e-05
   -0.0343093  2.75355e-05
    -0.177265  3.36303e-05
     -0.32022  4.10734e-05
    -0.463175   5.0163e-05
    -0.606131  6.12628e-05
    -0.749086  7.48175e-05
    -0.892041  9.13694e-05
       -1.035  0.000111581
     -1.17795  0.000136261
     -1.32091  0.000166397
     -1.46386  0.000203194
     -1.60682  0.000248124
     -1.74977  0.000302982
     -1.89273  0.000369963
     -2.03568  0.000451742
     -2.17864  0.000551588
     -2.32159   0.00067349
     -2.46455  0.000822316
     -2.60751   0.00100401
     -2.75046   0.00122583
     -2.89342   0.00149662
     -3.03637    0.0018272
     -3.17933   0.00223076
     -3.32228    0.0027234
     -3.46524   0.00332476
     -3.60819   0.00405883
     -3.75115   0.00495488
      -3.8941   0.00604863
     -4.03706   0.00738366
     -4.18001   0.00901319
     -4.32297    0.0110021
     -4.46593    0.0134297
     -4.60888    0.0163925
     -4.75184    0.0200087
     -4.89479     0.024422
     -5.03775    0.0298082
      -5.1807    0.0363816
     -5.32366    0.0444036
     -5.46661    0.0541934
     -5.60957    0.0661403
     -5.75252    0.0807192
     -5.89548    0.0985095
     -6.03843     0.120218
     -6.18139     0.146708
     -6.32434     0.179032
      -6.4673     0.218472
     -6.61026     0.266596
     -6.75321     0.325314
     -6.89617     0.396955
     -7.03912     0.484364
     -7.18208     0.591008
     -7.32503     0.721116
     -7.46799      0.87985
     -7.61094       1.0735
      -7.7539      1.30975
     -7.89685      1.59795
     -8.03981      1.94953
     -8.18276      2.37841
     -8.32572      2.90158
     -8.46867      3.53975
     -8.61163      4.31818
     -8.75459       5.2677
     -8.89754      6.42586
      -9.0405      7.83848
     -9.18345      9.56143
     -9.32641      11.6629
     -9.46936      14.2258
     -9.61232      17.3516
     -9.75527      21.1638
     -9.89823      25.8129
     -10.0412      31.4826
     -10.1841      38.3969
     -10.3271      46.8285
       -10.47      57.1104
      -10.613      69.6484
      -10.756       84.937
     -10.8989      103.579
     -11.0419      126.311
     -11.1848      154.027
     -11.3278      187.821
     -11.4707      229.024
     -11.6137      279.259
     -11.7566      340.506
     -11.8996      415.176
     -12.0426      506.209
     -12.1855      617.188
     -12.3285      752.479
     -12.4714      917.406
     -12.6144      1118.45
     -12.7573      1363.53
     -12.9003      1662.27
     -13.0432      2026.41
     -13.1862      2470.27
     -13.3292      3011.27
     -13.4721      3670.66
     -13.6151      4474.35
      -13.758      5453.87
      -13.901      6647.66
     -14.0439      8102.57
     -14.1869      9875.67
     -14.3298      12036.5
     -14.4728      14669.7
     -14.6158      17878.6
     -14.7587      21788.9
     -14.9017      26553.7
     -15.0446      32359.8
     -15.1876      39434.4
     -15.3305      48054.6
     -15.4735      58557.7
     -15.6164      71354.5
     -15.7594      86945.8
     -15.9024       105941
     -16.0453       129083
     -16.1883       157277
     -16.3312       191624
     -16.4742       233465
     -16.6171       284435
     -16.7601       346525
      -16.903       422156
      -17.046       514282
      -17.189       626496
     -17.3319       763175
     -17.4749       929647
     -17.6178   1.1324e+06
     -17.7608  1.37935e+06
     -17.9037   1.6801e+06
     -18.0467  2.04637e+06
     -18.1896  2.49242e+06
     -18.3326  3.03562e+06
     -18.4755  3.69711e+06
     -18.6185  4.50263e+06
     -18.7615   5.4835e+06
     -18.9044  6.67787e+06
     -19.0474  8.13218e+06
     -19.1903  9.90295e+06
     -19.3333   1.2059e+07
     -19.4762   1.4684e+07
     -19.6192    1.788e+07
     -19.7621   2.1771e+07
     -19.9051  2.65081e+07
     -20.0481   3.2275e+07
      -20.191  3.92954e+07
      -20.334  4.78416e+07
     -20.4769  5.82448e+07
     -20.6199  7.09083e+07
     -20.7628  8.63227e+07
     -20.9058  1.05085e+08
     -21.0487  1.27922e+08
     -21.1917  1.55717e+08
     -21.3347  1.89546e+08
     -21.4776  2.30717e+08
     -21.6206  2.80824e+08
     -21.7635  3.41803e+08
     -21.9065  4.16011e+08
     -22.0494  5.06316e+08
     -22.1924  6.16207e+08
     -22.3353  7.49926e+08
     -22.4783  9.12636e+08
     -22.6213  1.11062e+09
     -22.7642  1.35151e+09
     -22.9072   1.6446e+09
     -23.0501  2.00119e+09
     -23.1931  2.43502e+09
      -23.336  2.96283e+09
      -23.479  3.60494e+09
     -23.6219  4.38607e+09
