Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200   3.4037e-18  7.91097e-28
  210  5.53807e-18  3.57699e-27
  220  8.80903e-18  1.44087e-26
  230  1.37063e-17  5.23697e-26
  240  2.08757e-17  1.73613e-25
  250  3.11484e-17  5.29866e-25
  260  4.55713e-17  1.50086e-24
  270  6.54371e-17  3.97354e-24
  280  9.23124e-17   9.8942e-24
  290  1.28065e-16  2.32993e-23
  300  1.74888e-16  5.21425e-23
  310  2.35323e-16  1.11383e-22
  320  3.12273e-16   2.2799e-22
  330  4.09026e-16  4.48743e-22
  340  5.29258e-16  8.51968e-22
  350  6.77044e-16  1.56465e-21
  360  8.56864e-16  2.78662e-21
  370   1.0736e-15  4.82395e-21
  380  1.33254e-15  8.13382e-21
  390  1.63938e-15  1.33835e-20
  400  2.00017e-15  2.15263e-20
  410  2.42139e-15  3.38977e-20
  420  2.90987e-15  5.23349e-20
  430   3.4728e-15   7.9322e-20
  440   4.1177e-15  1.18167e-19
  450  4.85245e-15  1.73207e-19
  460  5.68524e-15   2.5006e-19
  470  6.62454e-15  3.55899e-19
  480  7.67913e-15  4.99784e-19
  490  8.85804e-15   6.9303e-19
  500  1.01706e-14  9.49618e-19
  510  1.16262e-14  1.28666e-18
  520  1.32348e-14  1.72491e-18
  530  1.50063e-14  2.28932e-18
  540  1.69507e-14  3.00965e-18
  550  1.90785e-14  3.92114e-18
  560  2.14002e-14  5.06518e-18
  570  2.39263e-14  6.49012e-18
  580  2.66678e-14  8.25203e-18
  590  2.96355e-14  1.04156e-17
  600  3.28404e-14  1.30549e-17
  610  3.62937e-14  1.62545e-17
  620  4.00067e-14  2.01103e-17
  630  4.39907e-14  2.47307e-17
  640  4.82571e-14  3.02374e-17
  650  5.28173e-14  3.67668e-17
  660  5.76831e-14  4.44707e-17
  670  6.28659e-14  5.35178e-17
  680  6.83774e-14  6.40947e-17
  690  7.42293e-14  7.64072e-17
  700  8.04334e-14  9.06811e-17
  800  1.64441e-13   4.0796e-16
  900  2.96659e-13  1.36758e-15
 1000  4.88752e-13  3.71903e-15
 1100  7.51979e-13  8.66414e-15
 1200  1.09703e-12  1.79367e-14
 1300  1.53392e-12  3.38515e-14
 1400  2.07196e-12   5.9325e-14
 1500  2.71969e-12  9.78702e-14
 1600  3.48497e-12  1.53574e-13
 1700  4.37496e-12  2.31058e-13
 1800  5.39616e-12  3.35437e-13
 1900   6.5545e-12  4.72263e-13
 2000  7.85535e-12   6.4748e-13
 2100  9.30359e-12  8.67366e-13
 2200  1.09037e-11  1.13849e-12
 2300  1.26595e-11  1.46765e-12
 2400  1.45749e-11  1.86187e-12
 2500  1.66531e-11  2.32831e-12
 2600  1.88972e-11  2.87427e-12
 2700  2.13098e-11  3.50713e-12
 2800  2.38936e-11  4.23436e-12
 2900  2.66507e-11  5.06345e-12
 3000  2.95835e-11  6.00194e-12
 3100  3.26937e-11  7.05735e-12
 3200  3.59831e-11  8.23721e-12
 3300  3.94534e-11  9.54902e-12
 3400  4.31061e-11  1.10002e-11
 3500  4.69426e-11  1.25983e-11
 3600  5.09641e-11  1.43505e-11
 3700  5.51718e-11  1.62643e-11
 3800  5.95669e-11  1.83468e-11
 3900  6.41503e-11  2.06053e-11
