========================================
CH3+OHtripletabs_P8_Energy_1_34.9759.out
--
T,R->P8
270.0,9.29452e-17
280.0,1.2961e-16
290.0,1.77872e-16
300.0,2.40451e-16
310.0,3.20465e-16
320.0,4.2145e-16
330.0,5.47364e-16
340.0,7.02602e-16
350.0,8.91995e-16
360.0,1.12081e-15
370.0,1.39476e-15
380.0,1.71996e-15
390.0,2.10297e-15
400.0,2.55075e-15
410.0,3.07064e-15
420.0,3.67037e-15
430.0,4.35803e-15
440.0,5.14206e-15
450.0,6.03122e-15
460.0,7.03458e-15
470.0,8.16151e-15
480.0,9.42164e-15
490.0,1.08249e-14
500.0,1.23813e-14
510.0,1.41013e-14
520.0,1.59954e-14
530.0,1.80744e-14
540.0,2.03491e-14
550.0,2.28306e-14
560.0,2.55302e-14
570.0,2.84591e-14
580.0,3.16289e-14
590.0,3.5051e-14
600.0,3.87372e-14
610.0,4.26991e-14
620.0,4.69487e-14
630.0,5.14978e-14
640.0,5.63582e-14
650.0,6.15421e-14
660.0,6.70615e-14
670.0,7.29283e-14
680.0,7.91548e-14
690.0,8.5753e-14
700.0,9.27351e-14
800.0,1.86342e-13
900.0,3.31649e-13
1000.0,5.40477e-13
1100.0,8.24143e-13
1200.0,1.19333e-12
1300.0,1.65799e-12
1400.0,2.22731e-12
1500.0,2.90975e-12
1600.0,3.71301e-12
1700.0,4.64409e-12
1800.0,5.70937e-12
1900.0,6.91459e-12
2000.0,8.265e-12
2100.0,9.76533e-12
2200.0,1.14198e-11
2300.0,1.32325e-11
2400.0,1.52067e-11
2500.0,1.73457e-11
2600.0,1.96525e-11
2700.0,2.21296e-11
2800.0,2.47796e-11
2900.0,2.76046e-11
3000.0,3.06066e-11
3100.0,3.37875e-11
3200.0,3.7149e-11
3300.0,4.06927e-11
3400.0,4.44199e-11
3500.0,4.8332e-11
3600.0,5.24303e-11
3700.0,5.67158e-11
3800.0,6.11896e-11
3900.0,6.58527e-11
========================================
CH3+OHtripletabs_B1_VariationalFrequencies_1_0.1.out
--
T,R->P8
200.0,5.0494e-18
210.0,8.01548e-18
220.0,1.24596e-17
230.0,1.89735e-17
240.0,2.83196e-17
250.0,4.14585e-17
260.0,5.95747e-17
270.0,8.4101e-17
