========================================
c2h6rad_W1_Energy_1_34.9759.out
0.5 atm
T,W1->P1
290.0,1.15953e-51
300.0,2.07428e-49
310.0,2.66105e-47
320.0,2.52522e-45
330.0,1.82152e-43
340.0,1.02306e-41
350.0,4.57018e-40
360.0,1.65494e-38
370.0,4.94026e-37
380.0,1.23422e-35
390.0,2.6159e-34
400.0,4.76112e-33
410.0,7.52437e-32
420.0,1.04283e-30
430.0,1.27895e-29
440.0,1.39956e-28
450.0,1.37674e-27
460.0,1.22587e-26
470.0,9.94187e-26
480.0,7.38568e-25
490.0,5.05313e-24
500.0,3.19916e-23
510.0,1.88281e-22
520.0,1.03435e-21
530.0,5.32386e-21
540.0,2.5769e-20
550.0,1.17674e-19
560.0,5.08474e-19
570.0,2.0853e-18
580.0,8.13716e-18
590.0,3.02909e-17
600.0,1.0781e-16
610.0,3.67638e-16
620.0,1.20378e-15
630.0,3.79136e-15
640.0,1.15083e-14
650.0,3.37203e-14
660.0,9.55152e-14
670.0,2.61988e-13
680.0,6.96685e-13
690.0,1.79893e-12
700.0,4.51522e-12
800.0,1.18831e-08
900.0,4.88119e-06
1000.0,0.000543181
1100.0,0.0233255
1200.0,0.490303
1300.0,5.95118
1400.0,46.9823
1500.0,263.215
1600.0,1118.5
1700.0,3786.37
1800.0,10634.2
1900.0,25527.1
2000.0,53932.4
2100.0,101959.0
2200.0,175931.0
2300.0,280032.0
2400.0,419938.0
2500.0,594509.0
2600.0,808471.0
2700.0,1057370.0
2800.0,1343620.0
2900.0,1673880.0
========================================
c2h6rad_W1_Energy_1_34.9759.out
1 atm
T,W1->P1
290.0,1.16376e-51
300.0,2.08333e-49
310.0,2.67486e-47
320.0,2.54071e-45
330.0,1.83466e-43
340.0,1.03168e-41
350.0,4.61491e-40
360.0,1.67364e-38
370.0,5.0043e-37
380.0,1.25249e-35
390.0,2.65986e-34
400.0,4.85153e-33
410.0,7.68492e-32
420.0,1.06771e-30
430.0,1.31294e-29
440.0,1.44079e-28
450.0,1.42152e-27
460.0,1.26969e-26
470.0,1.0331e-25
480.0,7.70117e-25
490.0,5.28775e-24
500.0,3.36015e-23
510.0,1.98512e-22
520.0,1.09485e-21
530.0,5.65829e-21
540.0,2.75018e-20
550.0,1.26122e-19
560.0,5.47362e-19
570.0,2.25473e-18
580.0,8.83818e-18
590.0,3.3051e-17
600.0,1.18179e-16
610.0,4.04899e-16
620.0,1.33207e-15
630.0,4.21555e-15
640.0,1.28575e-14
650.0,3.78561e-14
660.0,1.07754e-13
670.0,2.97002e-13
680.0,7.93683e-13
690.0,2.05944e-12
700.0,5.19449e-12
800.0,1.43508e-08
900.0,6.17208e-06
1000.0,0.000716458
1100.0,0.0319676
1200.0,0.695539
1300.0,8.70877
1400.0,70.7017
1500.0,406.23
1600.0,1765.9
1700.0,6102.89
1800.0,17463.5
1900.0,42643.4
2000.0,91467.3
2100.0,175330.0
2200.0,306299.0
2300.0,493140.0
2400.0,746737.0
2500.0,1066650.0
2600.0,1461530.0
2700.0,1924550.0
2800.0,2459960.0
2900.0,3079270.0
========================================
c2h6rad_W1_Energy_1_34.9759.out
2 atm
T,W1->P1
290.0,1.16596e-51
300.0,2.0881e-49
310.0,2.6822e-47
320.0,2.54903e-45
330.0,1.84179e-43
340.0,1.0364e-41
350.0,4.6397e-40
360.0,1.68412e-38
370.0,5.04067e-37
380.0,1.263e-35
390.0,2.68549e-34
400.0,4.90498e-33
410.0,7.78116e-32
420.0,1.08284e-30
430.0,1.33391e-29
440.0,1.46658e-28
450.0,1.44995e-27
460.0,1.29792e-26
470.0,1.05853e-25
480.0,7.91038e-25
490.0,5.4456e-24
500.0,3.47003e-23
510.0,2.05596e-22
520.0,1.13735e-21
530.0,5.89647e-21
540.0,2.87531e-20
550.0,1.32307e-19
560.0,5.76222e-19
570.0,2.38217e-18
580.0,9.37247e-18
590.0,3.51823e-17
600.0,1.26289e-16
610.0,4.34411e-16
620.0,1.43495e-15
630.0,4.55995e-15
640.0,1.39661e-14
650.0,4.1295e-14
660.0,1.18051e-13
670.0,3.26798e-13
680.0,8.77164e-13
690.0,2.28614e-12
700.0,5.79207e-12
800.0,1.6748e-08
900.0,7.53518e-06
1000.0,0.000912811
1100.0,0.0423695
1200.0,0.955752
1300.0,12.367
1400.0,103.443
1500.0,610.697
1600.0,2720.78
1700.0,9616.41
1800.0,28083.7
1900.0,69869.3
2000.0,152376.0
2100.0,296565.0
2200.0,525221.0
2300.0,856315.0
2400.0,1310720.0
2500.0,1890860.0
2600.0,2612750.0
2700.0,3466560.0
2800.0,4459980.0
2900.0,5612730.0
========================================
c2h6rad_W1_Energy_1_34.9759.out
4 atm
T,W1->P1
290.0,1.16709e-51
300.0,2.09055e-49
310.0,2.68601e-47
320.0,2.55336e-45
330.0,1.84553e-43
340.0,1.03891e-41
350.0,4.65295e-40
360.0,1.68977e-38
370.0,5.06047e-37
380.0,1.26878e-35
390.0,2.69974e-34
400.0,4.93502e-33
410.0,7.83588e-32
420.0,1.09155e-30
430.0,1.34612e-29
440.0,1.4818e-28
450.0,1.46693e-27
460.0,1.315e-26
470.0,1.07412e-25
480.0,8.04034e-25
490.0,5.54496e-24
