========================================
hono_B1_Frequencies_1_0.1.out
0.1 atm
T,P1->W1
200.0,4.01835e-12
210.0,3.50708e-12
220.0,3.07398e-12
230.0,2.70497e-12
240.0,2.38982e-12
250.0,2.11875e-12
260.0,1.88552e-12
270.0,1.68353e-12
280.0,1.5082e-12
290.0,1.35517e-12
300.0,1.22126e-12
310.0,1.104e-12
320.0,1.00092e-12
330.0,9.09448e-13
340.0,8.28572e-13
350.0,7.56557e-13
360.0,6.92318e-13
370.0,6.35215e-13
380.0,5.83787e-13
390.0,5.37662e-13
400.0,4.96074e-13
410.0,4.58458e-13
420.0,4.24678e-13
430.0,3.93871e-13
440.0,3.6583e-13
450.0,3.40266e-13
460.0,3.17061e-13
470.0,2.95843e-13
480.0,2.76478e-13
490.0,2.58735e-13
500.0,2.42285e-13
510.0,2.27185e-13
520.0,2.13328e-13
530.0,2.00572e-13
540.0,1.88627e-13
550.0,1.77672e-13
560.0,1.67599e-13
570.0,1.58121e-13
580.0,1.4934e-13
590.0,1.41169e-13
600.0,1.33572e-13
610.0,1.26566e-13
620.0,1.19971e-13
630.0,1.13703e-13
640.0,1.0793e-13
650.0,1.0255e-13
660.0,9.74511e-14
670.0,9.27261e-14
680.0,8.82523e-14
690.0,8.41462e-14
700.0,8.0159e-14
800.0,5.10554e-14
900.0,3.41886e-14
1000.0,2.36144e-14
1100.0,1.68141e-14
1200.0,1.23197e-14
1300.0,9.24187e-15
1400.0,6.96128e-15
1500.0,5.43079e-15
1600.0,4.16102e-15
1700.0,3.32634e-15
1800.0,2.65879e-15
1900.0,2.17098e-15
2000.0,1.77381e-15
2100.0,1.45453e-15
2200.0,1.18308e-15
2300.0,1.028e-15
2400.0,8.46223e-16
2500.0,7.2972e-16
2600.0,6.17709e-16
2700.0,5.38625e-16
2800.0,4.70424e-16
2900.0,4.06903e-16
3000.0,3.4823e-16
========================================
hono_B1_Frequencies_1_0.1.out
0.2154 atm
T,P1->W1
200.0,6.39702e-12
210.0,5.65556e-12
220.0,5.01642e-12
230.0,4.46354e-12
240.0,3.98433e-12
250.0,3.56667e-12
260.0,3.20272e-12
270.0,2.88383e-12
280.0,2.60401e-12
290.0,2.35741e-12
300.0,2.13944e-12
310.0,1.9468e-12
320.0,1.7759e-12
330.0,1.62316e-12
340.0,1.48708e-12
350.0,1.36504e-12
360.0,1.25552e-12
370.0,1.15735e-12
380.0,1.06848e-12
390.0,9.88322e-13
400.0,9.15633e-13
410.0,8.49654e-13
420.0,7.89889e-13
430.0,7.3523e-13
440.0,6.85294e-13
450.0,6.3959e-13
460.0,5.97861e-13
470.0,5.59549e-13
480.0,5.24402e-13
490.0,4.92069e-13
500.0,4.62082e-13
510.0,4.34432e-13
520.0,4.08956e-13
530.0,3.85371e-13
540.0,3.63356e-13
550.0,3.43017e-13
560.0,3.24198e-13
570.0,3.06557e-13
580.0,2.90133e-13
590.0,2.74823e-13
600.0,2.60541e-13
610.0,2.47261e-13
620.0,2.34788e-13
630.0,2.22985e-13
640.0,2.12026e-13
650.0,2.01771e-13
660.0,1.92065e-13
670.0,1.83019e-13
680.0,1.74458e-13
690.0,1.66502e-13
700.0,1.58866e-13
800.0,1.02519e-13
900.0,6.92153e-14
1000.0,4.82931e-14
1100.0,3.46534e-14
1200.0,2.54512e-14
1300.0,1.91065e-14
1400.0,1.45005e-14
1500.0,1.13132e-14
1600.0,8.75118e-15
1700.0,6.95666e-15
1800.0,5.61749e-15
1900.0,4.56014e-15
2000.0,3.73171e-15
2100.0,3.08427e-15
2200.0,2.52591e-15
2300.0,2.1744e-15
2400.0,1.79963e-15
2500.0,1.56168e-15
2600.0,1.32377e-15
2700.0,1.15547e-15
2800.0,1.00949e-15
2900.0,8.73959e-16
3000.0,7.47382e-16
========================================
hono_B1_Frequencies_1_0.1.out
0.4641 atm
T,P1->W1
200.0,9.65775e-12
210.0,8.66078e-12
220.0,7.78438e-12
230.0,7.01284e-12
240.0,6.33278e-12
250.0,5.73092e-12
260.0,5.19875e-12
270.0,4.72613e-12
280.0,4.30616e-12
290.0,3.93174e-12
300.0,3.59698e-12
310.0,3.29794e-12
320.0,3.02991e-12
330.0,2.78823e-12
340.0,2.57096e-12
350.0,2.37447e-12
360.0,2.19682e-12
370.0,2.03618e-12
380.0,1.8898e-12
390.0,1.75685e-12
400.0,1.63548e-12
410.0,1.52475e-12
420.0,1.42362e-12
430.0,1.33072e-12
440.0,1.24543e-12
450.0,1.16696e-12
460.0,1.0949e-12
470.0,1.02842e-12
480.0,9.67092e-13
490.0,9.10415e-13
500.0,8.57722e-13
510.0,8.08921e-13
520.0,7.63732e-13
530.0,7.21699e-13
540.0,6.82446e-13
550.0,6.45972e-13
560.0,6.12035e-13
570.0,5.8023e-13
580.0,5.50487e-13
590.0,5.2269e-13
600.0,4.96668e-13
610.0,4.72319e-13
620.0,4.49448e-13
630.0,4.27824e-13
640.0,4.07618e-13
650.0,3.88641e-13
660.0,3.70678e-13
670.0,3.53853e-13
680.0,3.37916e-13
690.0,3.23004e-13
700.0,3.08752e-13
800.0,2.02268e-13
900.0,1.3812e-13
1000.0,9.73165e-14
1100.0,7.0421e-14
1200.0,5.2073e-14
1300.0,3.92473e-14
1400.0,3.00008e-14
1500.0,2.33784e-14
1600.0,1.82815e-14
1700.0,1.45236e-14
1800.0,1.17533e-14
1900.0,9.52114e-15
2000.0,7.8061e-15
2100.0,6.48709e-15
2200.0,5.36753e-15
2300.0,4.57175e-15
2400.0,3.82784e-15
2500.0,3.32472e-15
2600.0,2.82931e-15
2700.0,2.46982e-15
2800.0,2.15909e-15
2900.0,1.87226e-15
3000.0,1.60287e-15
========================================
hono_B1_Frequencies_1_0.1.out
1.0 atm
T,P1->W1
200.0,1.37585e-11
210.0,1.25286e-11
220.0,1.14237e-11
230.0,1.04316e-11
240.0,9.54043e-12
250.0,8.73788e-12
260.0,8.01648e-12
270.0,7.3658e-12
280.0,6.77921e-12
290.0,6.24914e-12
300.0,5.769e-12
310.0,5.33479e-12
320.0,4.94101e-12
330.0,4.58218e-12
340.0,4.25622e-12
350.0,3.95853e-12
360.0,3.68697e-12
370.0,3.439e-12
380.0,3.21125e-12
390.0,3.0027e-12
400.0,2.81083e-12
410.0,2.6346e-12
420.0,2.47233e-12
430.0,2.32234e-12
440.0,2.18379e-12
450.0,2.05553e-12
460.0,1.93699e-12
470.0,1.82701e-12
480.0,1.72494e-12
490.0,1.63009e-12
500.0,1.54156e-12
510.0,1.45916e-12
520.0,1.38242e-12
530.0,1.31071e-12
540.0,1.24354e-12
550.0,1.18081e-12
560.0,1.12211e-12
570.0,1.067e-12
580.0,1.01522e-12
590.0,9.66656e-13
600.0,9.2102e-13
610.0,8.7808e-13
620.0,8.37676e-13
630.0,7.9943e-13
640.0,7.63493e-13
650.0,7.29621e-13
660.0,6.97504e-13
670.0,6.6729e-13
680.0,6.38613e-13
690.0,6.11641e-13
700.0,5.85877e-13
800.0,3.90742e-13
900.0,2.70547e-13
1000.0,1.92844e-13
1100.0,1.4089e-13
1200.0,1.05046e-13
1300.0,7.96999e-14
1400.0,6.13314e-14
1500.0,4.79155e-14
1600.0,3.77598e-14
1700.0,3.011e-14
1800.0,2.43615e-14
1900.0,1.97873e-14
2000.0,1.62632e-14
2100.0,1.35415e-14
2200.0,1.13107e-14
2300.0,9.57546e-15
2400.0,8.10525e-15
2500.0,7.02412e-15
2600.0,6.01236e-15
2700.0,5.24677e-15
2800.0,4.59127e-15
2900.0,3.99145e-15
3000.0,3.42699e-15
========================================
hono_B1_Frequencies_1_0.1.out
2.154 atm
T,P1->W1
200.0,1.84295e-11
210.0,1.70505e-11
220.0,1.57828e-11
230.0,1.46195e-11
240.0,1.35529e-11
250.0,1.25736e-11
260.0,1.16771e-11
270.0,1.08543e-11
280.0,1.01005e-11
290.0,9.40868e-12
300.0,8.77281e-12
310.0,8.18967e-12
320.0,7.65375e-12
330.0,7.15939e-12
340.0,6.70488e-12
350.0,6.28511e-12
360.0,5.89811e-12
370.0,5.5409e-12
380.0,5.20971e-12
390.0,4.90354e-12
400.0,4.61931e-12
410.0,4.35609e-12
420.0,4.11155e-12
430.0,3.88382e-12
440.0,3.67191e-12
450.0,3.47429e-12
460.0,3.29032e-12
470.0,3.1185e-12
480.0,2.95791e-12
490.0,2.80776e-12
500.0,2.66685e-12
510.0,2.53495e-12
520.0,2.41134e-12
530.0,2.29517e-12
540.0,2.18591e-12
550.0,2.08329e-12
560.0,1.98672e-12
570.0,1.8957e-12
580.0,1.80978e-12
590.0,1.72884e-12
600.0,1.65243e-12
610.0,1.58015e-12
620.0,1.51192e-12
630.0,1.44717e-12
640.0,1.386e-12
650.0,1.32812e-12
660.0,1.27308e-12
670.0,1.22107e-12
680.0,1.17156e-12
690.0,1.12479e-12
700.0,1.08003e-12
800.0,7.35691e-13
900.0,5.17957e-13
1000.0,3.74341e-13
1100.0,2.76645e-13
1200.0,2.08276e-13
1300.0,1.59329e-13
1400.0,1.23516e-13
1500.0,9.70436e-14
1600.0,7.69508e-14
1700.0,6.169e-14
1800.0,5.00216e-14
1900.0,4.08257e-14
2000.0,3.36694e-14
2100.0,2.80733e-14
2200.0,2.35832e-14
2300.0,1.99729e-14
2400.0,1.70138e-14
2500.0,1.47129e-14
2600.0,1.26666e-14
2700.0,1.10539e-14
2800.0,9.68689e-15
2900.0,8.44761e-15
3000.0,7.28411e-15
========================================
hono_B1_Frequencies_1_0.1.out
4.641 atm
T,P1->W1
200.0,2.31948e-11
210.0,2.17987e-11
220.0,2.04851e-11
230.0,1.92522e-11
240.0,1.80972e-11
250.0,1.70147e-11
260.0,1.6004e-11
270.0,1.50589e-11
280.0,1.41774e-11
290.0,1.33546e-11
300.0,1.2586e-11
310.0,1.187e-11
320.0,1.12022e-11
330.0,1.05776e-11
340.0,9.99545e-12
350.0,9.4509e-12
360.0,8.94272e-12
370.0,8.46798e-12
380.0,8.02294e-12
390.0,7.60702e-12
400.0,7.2169e-12
410.0,6.85207e-12
420.0,6.50978e-12
430.0,6.18815e-12
440.0,5.88626e-12
450.0,5.60231e-12
460.0,5.33577e-12
470.0,5.0849e-12
480.0,4.84855e-12
490.0,4.62596e-12
500.0,4.41565e-12
510.0,4.21744e-12
520.0,4.03041e-12
530.0,3.85348e-12
540.0,3.68614e-12
550.0,3.528e-12
560.0,3.37823e-12
570.0,3.23635e-12
580.0,3.10166e-12
590.0,2.97412e-12
600.0,2.85308e-12
610.0,2.73793e-12
620.0,2.62877e-12
630.0,2.52477e-12
640.0,2.42599e-12
650.0,2.33207e-12
660.0,2.24242e-12
670.0,2.15731e-12
680.0,2.07598e-12
690.0,1.99876e-12
700.0,1.92469e-12
800.0,1.34395e-12
900.0,9.65154e-13
1000.0,7.09103e-13
1100.0,5.31276e-13
1200.0,4.04665e-13
1300.0,3.12667e-13
1400.0,2.44531e-13
1500.0,1.93544e-13
1600.0,1.54544e-13
1700.0,1.24653e-13
1800.0,1.01551e-13
1900.0,8.33221e-14
2000.0,6.90169e-14
2100.0,5.77203e-14
2200.0,4.86685e-14
2300.0,4.13692e-14
2400.0,3.53598e-14
2500.0,3.05896e-14
2600.0,2.64462e-14
2700.0,2.31058e-14
2800.0,2.02873e-14
2900.0,1.77457e-14
3000.0,1.53719e-14
========================================
hono_B1_Frequencies_1_0.1.out
10.0 atm
T,P1->W1
200.0,2.74981e-11
210.0,2.62215e-11
220.0,2.49947e-11
230.0,2.38186e-11
240.0,2.26936e-11
250.0,2.16177e-11
260.0,2.0593e-11
270.0,1.9616e-11
280.0,1.86877e-11
290.0,1.78056e-11
300.0,1.69671e-11
310.0,1.61729e-11
320.0,1.54202e-11
330.0,1.47053e-11
340.0,1.4029e-11
350.0,1.33873e-11
360.0,1.27803e-11
370.0,1.22056e-11
380.0,1.16601e-11
390.0,1.1144e-11
400.0,1.06542e-11
410.0,1.01911e-11
420.0,9.75168e-12
430.0,9.3345e-12
440.0,8.93901e-12
450.0,8.56334e-12
460.0,8.20735e-12
470.0,7.86926e-12
