*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  9.32624e+08     0.062306  0.000740101    0.0117658
          200          0.5  4.66312e+09    0.0485316  0.000299974   0.00479333
          200            1  9.32624e+09    0.0441012  0.000199361   0.00314849
          200            2  1.86525e+10    0.0403699  0.000130853   0.00202602
          200            4  3.73049e+10    0.0372173  8.47783e-05   0.00127615
          210          0.1  8.95381e+08    0.0578665  0.000564305   0.00984736
          210          0.5   4.4769e+09    0.0460463   0.00023917   0.00416025
          210            1  8.95381e+09    0.0421545  0.000161986   0.00278179
          210            2  1.79076e+10    0.0388361   0.00010835   0.00182463
          210            4  3.58152e+10    0.0360004  7.15413e-05   0.00117304
          220          0.1   8.6169e+08    0.0548231  0.000462942   0.00868432
          220          0.5  4.30845e+09    0.0443443   0.00020408   0.00380166
          220            1   8.6169e+09    0.0408267  0.000140593   0.00258591
          220            2  1.72338e+10     0.037796  9.56693e-05   0.00172733
          220            4  3.44676e+10    0.0351813  6.42756e-05   0.00113214
          230          0.1  8.31044e+08    0.0515262  0.000370048   0.00743576
          230          0.5  4.15522e+09    0.0423773  0.000169223   0.00336319
          230            1  8.31044e+09    0.0392468  0.000118452   0.00232385
          230            2  1.66209e+10    0.0365213  8.19109e-05   0.00157837
          230            4  3.32418e+10    0.0341468  5.59359e-05   0.00105293
          240          0.1  8.03032e+08    0.0485415  0.000299118   0.00638747
          240          0.5  4.01516e+09    0.0405389   0.00014146   0.00297892
          240            1  8.03032e+09    0.0377508  0.000100486   0.00208871
          240            2  1.60606e+10    0.0352993  7.05321e-05   0.00144084
          240            4  3.21213e+10    0.0331436  4.89012e-05  0.000977083
          250          0.1  7.77311e+08    0.0465523  0.000259358   0.00581347
          250          0.5  3.88656e+09    0.0393254  0.000126413   0.00279258
          250            1  7.77311e+09    0.0367697  9.10105e-05   0.00198561
          250            2  1.55462e+10     0.034504  6.47617e-05   0.00139003
          250            4  3.10924e+10    0.0324958  4.55321e-05  0.000957312
          260          0.1    7.536e+08      0.04409  0.000214368     0.005048
          260          0.5    3.768e+09    0.0377245  0.000107517   0.00249113
          260            1    7.536e+09    0.0354379  7.83943e-05   0.00179405
          260            2   1.5072e+10     0.033393  5.65106e-05   0.00127297
          260            4   3.0144e+10    0.0315654  4.02589e-05  0.000889226
          270          0.1   7.3166e+08    0.0417715  0.000176826   0.00435754
          270          0.5   3.6583e+09    0.0361691  9.10764e-05   0.00220526
          270            1   7.3166e+09    0.0341274  6.71979e-05   0.00160722
          270            2  1.46332e+10    0.0322864  4.90291e-05   0.00115482
          270            4  2.92664e+10    0.0306281  3.53633e-05  0.000817427
          280          0.1  7.11291e+08     0.040708  0.000164122    0.0041835
          280          0.5  3.55645e+09    0.0354857  8.65652e-05   0.00217029
          280            1  7.11291e+09    0.0335638  6.45594e-05   0.00160018
          280            2  1.42258e+10    0.0318209  4.76276e-05   0.00116381
          280            4  2.84516e+10    0.0302422  3.47451e-05  0.000834313
          290          0.1  6.92323e+08    0.0388016  0.000138399   0.00366572
          290          0.5  3.46162e+09    0.0341532  7.46994e-05   0.00194462
          290            1  6.92323e+09     0.032422  5.62894e-05   0.00144892
          290            2  1.38465e+10    0.0308412  4.19693e-05   0.00106549
          290            4  2.76929e+10    0.0293996  3.09517e-05  0.000772724
          300          0.1  6.74611e+08    0.0375126  0.000124289   0.00340137
          300          0.5  3.37305e+09    0.0332479  6.85186e-05   0.00184353
          300            1  6.74611e+09    0.0316446  5.21284e-05   0.00138747
          300            2  1.34922e+10    0.0301727  3.92516e-05    0.0010311
          300            4  2.69844e+10    0.0288231  2.92419e-05  0.000756059
          310          0.1  6.58028e+08    0.0367458  0.000118714   0.00334029
          310          0.5  3.29014e+09    0.0327194  6.67335e-05   0.00184822
          310            1  6.58028e+09    0.0311947  5.12233e-05   0.00140446
          310            2  1.31606e+10    0.0297888  3.89254e-05   0.00105428
          310            4  2.63211e+10    0.0284944  2.92744e-05  0.000781219
          320          0.1  6.42464e+08     0.035394  0.000104266    0.0030216
          320          0.5  3.21232e+09     0.031735  5.97279e-05   0.00170348
          320            1  6.42464e+09    0.0303372  4.62392e-05   0.00130587
          320            2  1.28493e+10    0.0290415  3.54481e-05  0.000989311
          320            4  2.56986e+10    0.0278423  2.69011e-05  0.000740157
          330          0.1  6.27826e+08     0.034721  0.000100256   0.00297876
          330          0.5  3.13913e+09    0.0312526  5.84342e-05   0.00171038
          330            1  6.27826e+09    0.0299194  4.55968e-05   0.00132239
          330            2  1.25565e+10     0.028679  3.52424e-05   0.00101079
          330            4  2.51131e+10    0.0275268  2.69716e-05  0.000763287
          340          0.1   6.1403e+08     0.033756  9.21351e-05   0.00280931
          340          0.5  3.07015e+09    0.0305336  5.46022e-05   0.00164077
          340            1   6.1403e+09    0.0292864  4.29304e-05   0.00127868
          340            2  1.22806e+10    0.0281213  3.34419e-05  0.000985524
          340            4  2.45612e+10    0.0270346  2.58006e-05  0.000750694
          350          0.1  6.01002e+08    0.0327124  8.29187e-05    0.0025917
          350          0.5  3.00501e+09    0.0297423  4.99242e-05   0.00153792
          350            1  6.01002e+09     0.028585   3.9536e-05   0.00120743
          350            2    1.202e+10    0.0274996  3.10271e-05  0.000937848
          350            4  2.40401e+10    0.0264831  2.41212e-05  0.000720181
          360          0.1  5.88676e+08    0.0318666  7.68401e-05   0.00245873
          360          0.5  2.94338e+09     0.029093  4.69563e-05   0.00148133
          360            1  5.88676e+09    0.0280061  3.74383e-05   0.00117128
          360            2  1.17735e+10    0.0269832  2.95873e-05   0.00091655
