========================================
h+ho2=hoohNOCOMMENTS_W2_Frequencies_1_0.1.out
0.1 atm
T,R->P1
200.0,7.76171e-11
210.0,7.72944e-11
220.0,7.71946e-11
230.0,7.7108e-11
240.0,7.69954e-11
250.0,7.68449e-11
260.0,7.69655e-11
270.0,7.6882e-11
280.0,7.70618e-11
290.0,7.70517e-11
300.0,7.72663e-11
310.0,7.73565e-11
320.0,7.75435e-11
330.0,7.76546e-11
340.0,7.78612e-11
350.0,7.80558e-11
360.0,7.82575e-11
370.0,7.84507e-11
380.0,7.87017e-11
390.0,7.88505e-11
400.0,7.91435e-11
410.0,7.94054e-11
420.0,7.96344e-11
430.0,7.9776e-11
440.0,8.01827e-11
450.0,8.03806e-11
460.0,8.06717e-11
470.0,8.0937e-11
480.0,8.11694e-11
490.0,8.15239e-11
500.0,8.17308e-11
510.0,8.20839e-11
520.0,8.22955e-11
530.0,8.26548e-11
540.0,8.28895e-11
550.0,8.30706e-11
560.0,8.34629e-11
570.0,8.37583e-11
580.0,8.40241e-11
590.0,8.42237e-11
600.0,8.46036e-11
610.0,8.49228e-11
620.0,8.52005e-11
630.0,8.53974e-11
640.0,8.578e-11
650.0,8.60255e-11
660.0,8.63255e-11
670.0,8.65814e-11
680.0,8.68825e-11
690.0,8.71825e-11
700.0,8.74581e-11
800.0,9.03039e-11
900.0,9.30093e-11
1000.0,9.56263e-11
1100.0,9.80931e-11
1200.0,1.00456e-10
1300.0,1.02644e-10
1400.0,1.04721e-10
1500.0,1.06667e-10
1600.0,1.08431e-10
1700.0,1.10102e-10
1800.0,1.1161e-10
1900.0,1.1298e-10
2000.0,1.1422e-10
2100.0,1.15338e-10
2200.0,1.16321e-10
2300.0,1.17188e-10
2400.0,1.17924e-10
2500.0,1.18538e-10
2600.0,1.19044e-10
2700.0,1.19442e-10
2800.0,1.19728e-10
2900.0,1.19916e-10
3000.0,1.20013e-10
========================================
h+ho2=hoohNOCOMMENTS_W2_Frequencies_1_0.1.out
3 atm
T,R->P1
200.0,7.76176e-11
210.0,7.72949e-11
220.0,7.71951e-11
230.0,7.71084e-11
240.0,7.69958e-11
250.0,7.68453e-11
260.0,7.69659e-11
270.0,7.68824e-11
280.0,7.70622e-11
290.0,7.70521e-11
300.0,7.72667e-11
310.0,7.73568e-11
320.0,7.75439e-11
330.0,7.7655e-11
340.0,7.78615e-11
350.0,7.80561e-11
360.0,7.82579e-11
370.0,7.8451e-11
380.0,7.8702e-11
390.0,7.88509e-11
400.0,7.91438e-11
410.0,7.94058e-11
420.0,7.96347e-11
430.0,7.97763e-11
440.0,8.0183e-11
450.0,8.03809e-11
460.0,8.0672e-11
470.0,8.09373e-11
480.0,8.11697e-11
490.0,8.15242e-11
500.0,8.17311e-11
510.0,8.20842e-11
520.0,8.22958e-11
530.0,8.26551e-11
540.0,8.28898e-11
550.0,8.30709e-11
